#cam_angle[deg]	polar_radius[mm]
0.0000	17.0000000
0.2500	17.0000000
0.5000	17.0000000
0.7500	17.0000000
1.0000	17.0000000
1.2500	17.0000000
1.5000	17.0000000
1.7500	17.0000000
2.0000	17.0000000
2.2500	17.0000000
2.5000	17.0000000
2.7500	17.0000000
3.0000	17.0000000
3.2500	17.0000000
3.5000	17.0000000
3.7500	17.0000000
4.0000	17.0000000
4.2500	17.0000000
4.5000	17.0000000
4.7500	17.0000000
5.0000	17.0000000
5.2500	17.0000000
5.5000	17.0000000
5.7500	17.0000000
6.0000	17.0000000
6.2500	17.0000000
6.5000	17.0000000
6.7500	17.0000000
7.0000	17.0000000
7.2500	17.0000000
7.5000	17.0000000
7.7500	17.0000000
8.0000	17.0000000
8.2500	17.0000000
8.5000	17.0000000
8.7500	17.0000000
9.0000	17.0000000
9.2500	17.0000000
9.5000	17.0000000
9.7500	17.0000000
10.0000	17.0000000
10.2500	17.0000000
10.5000	17.0000000
10.7500	17.0000000
11.0000	17.0000000
11.2500	17.0000000
11.5000	17.0000000
11.7500	17.0000000
12.0000	17.0000000
12.2500	17.0000000
12.5000	17.0000000
12.7500	17.0000000
13.0000	17.0000000
13.2500	17.0000000
13.5000	17.0000000
13.7500	17.0000000
14.0000	17.0000000
14.2500	17.0000000
14.5000	17.0000000
14.7500	17.0000000
15.0000	17.0000000
15.2500	17.0000000
15.5000	17.0000000
15.7500	17.0000000
16.0000	17.0000000
16.2500	17.0000000
16.5000	17.0000000
16.7500	17.0000000
17.0000	17.0000000
17.2500	17.0000000
17.5000	17.0000000
17.7500	17.0000000
18.0000	17.0000000
18.2500	17.0000000
18.5000	17.0000000
18.7500	17.0000000
19.0000	17.0000000
19.2500	17.0000000
19.5000	17.0000000
19.7500	17.0000000
20.0000	17.0000000
20.2500	17.0000000
20.5000	17.0000000
20.7500	17.0000000
21.0000	17.0000000
21.2500	17.0000020
21.5000	17.0000080
21.7500	17.0000200
22.0000	17.0000400
22.2500	17.0000730
22.5000	17.0001210
22.7500	17.0001860
23.0000	17.0002720
23.2500	17.0003810
23.5000	17.0005170
23.7500	17.0006810
24.0000	17.0008770
24.2500	17.0011080
24.5000	17.0013760
24.7500	17.0016830
25.0000	17.0020330
25.2500	17.0024270
25.5000	17.0028690
25.7500	17.0033610
26.0000	17.0039050
26.2500	17.0045040
26.5000	17.0051600
26.7500	17.0058760
27.0000	17.0066540
27.2500	17.0074960
27.5000	17.0084050
27.7500	17.0093860
28.0000	17.0104420
28.2500	17.0115710
28.5000	17.0127760
28.7500	17.0140600
29.0000	17.0154240
29.2500	17.0168710
29.5000	17.0184020
29.7500	17.0200200
30.0000	17.0217260
30.2500	17.0235230
30.5000	17.0254120
30.7500	17.0274070
31.0000	17.0295000
31.2500	17.0316920
31.5000	17.0339850
31.7500	17.0363810
32.0000	17.0388810
32.2500	17.0414870
32.5000	17.0442020
32.7500	17.0470270
33.0000	17.0499760
33.2500	17.0530480
33.5000	17.0562430
33.7500	17.0595670
34.0000	17.0630260
34.2500	17.0666280
34.5000	17.0703780
34.7500	17.0743120
35.0000	17.0784390
35.2500	17.0827480
35.5000	17.0872460
35.7500	17.0919370
36.0000	17.0968820
36.2500	17.1020780
36.5000	17.1074950
36.7500	17.1131330
37.0000	17.1190720
37.2500	17.1253060
37.5000	17.1317790
37.7500	17.1384900
38.0000	17.1456140
38.2500	17.1529900
38.5000	17.1605570
38.7500	17.1685530
39.0000	17.1768620
39.2500	17.1854810
39.5000	17.1944240
39.7500	17.2036940
40.0000	17.2132940
40.2500	17.2232260
40.5000	17.2334910
40.7500	17.2440910
41.0000	17.2550260
41.2500	17.2662980
41.5000	17.2779070
41.7500	17.2898540
42.0000	17.3021400
42.2500	17.3147660
42.5000	17.3277330
42.7500	17.3410420
43.0000	17.3546940
43.2500	17.3686890
43.5000	17.3830280
43.7500	17.3977130
44.0000	17.4127440
44.2500	17.4281220
44.5000	17.4438480
44.7500	17.4599230
45.0000	17.4763480
45.2500	17.4931230
45.5000	17.5102500
45.7500	17.5277290
46.0000	17.5455600
46.2500	17.5637450
46.5000	17.5822850
46.7500	17.6011790
47.0000	17.6204290
47.2500	17.6400360
47.5000	17.6599990
47.7500	17.6803200
48.0000	17.7009990
48.2500	17.7220360
48.5000	17.7434320
48.7500	17.7651870
49.0000	17.7873020
49.2500	17.8097770
49.5000	17.8326110
49.7500	17.8558060
50.0000	17.8793610
50.2500	17.9032760
50.5000	17.9275500
50.7500	17.9521830
51.0000	17.9771720
51.2500	18.0025160
51.5000	18.0282120
51.7500	18.0542190
52.0000	18.0807070
52.2500	18.1074000
52.5000	18.1344810
52.7500	18.1619080
53.0000	18.1896380
53.2500	18.2176690
53.5000	18.2460000
53.7500	18.2746730
54.0000	18.3036620
54.2500	18.3329290
54.5000	18.3624690
54.7500	18.3922780
55.0000	18.4223500
55.2500	18.4526810
55.5000	18.4832970
55.7500	18.5141490
56.0000	18.5452330
56.2500	18.5765400
56.5000	18.6080650
