#cam_angle[deg]	polar_radius[mm]
0.0000	17.0000000
0.2500	17.0000000
0.5000	17.0000000
0.7500	17.0000000
1.0000	17.0000000
1.2500	17.0000000
1.5000	17.0000000
1.7500	17.0000000
2.0000	17.0000000
2.2500	17.0000000
2.5000	17.0000000
2.7500	17.0000000
3.0000	17.0000000
3.2500	17.0000000
3.5000	17.0000000
3.7500	17.0000000
4.0000	17.0000000
4.2500	17.0000000
4.5000	17.0000000
4.7500	17.0000000
5.0000	17.0000000
5.2500	17.0000000
5.5000	17.0000000
5.7500	17.0000000
6.0000	17.0000000
6.2500	17.0000000
6.5000	17.0000000
6.7500	17.0000000
7.0000	17.0000000
7.2500	17.0000000
7.5000	17.0000000
7.7500	17.0000000
8.0000	17.0000000
8.2500	17.0000000
8.5000	17.0000000
8.7500	17.0000000
9.0000	17.0000000
9.2500	17.0000000
9.5000	17.0000000
9.7500	17.0000000
10.0000	17.0000000
10.2500	17.0000000
10.5000	17.0000000
10.7500	17.0000000
11.0000	17.0000000
11.2500	17.0000000
11.5000	17.0000000
11.7500	17.0000000
12.0000	17.0000000
12.2500	17.0000000
12.5000	17.0000000
12.7500	17.0000000
13.0000	17.0000000
13.2500	17.0000000
13.5000	17.0000000
13.7500	17.0000000
14.0000	17.0000000
14.2500	17.0000000
14.5000	17.0000000
14.7500	17.0000000
15.0000	17.0000000
15.2500	17.0000000
15.5000	17.0000000
15.7500	17.0000000
16.0000	17.0000000
16.2500	17.0000000
16.5000	17.0000000
16.7500	17.0000000
17.0000	17.0000000
17.2500	17.0000000
17.5000	17.0000000
17.7500	17.0000000
18.0000	17.0000000
18.2500	17.0000000
18.5000	17.0000000
18.7500	17.0000000
19.0000	17.0000000
19.2500	17.0000000
19.5000	17.0000000
19.7500	17.0000000
20.0000	17.0000000
20.2500	17.0000000
20.5000	17.0000000
20.7500	17.0000000
21.0000	17.0000000
21.2500	17.0000020
21.5000	17.0000080
21.7500	17.0000200
22.0000	17.0000400
22.2500	17.0000730
22.5000	17.0001200
22.7500	17.0001860
23.0000	17.0002720
23.2500	17.0003810
23.5000	17.0005160
23.7500	17.0006810
24.0000	17.0008770
24.2500	17.0011080
24.5000	17.0013760
24.7500	17.0016840
25.0000	17.0020340
25.2500	17.0024300
25.5000	17.0028730
25.7500	17.0033670
26.0000	17.0039140
26.2500	17.0045170
26.5000	17.0051770
26.7500	17.0058980
27.0000	17.0066820
27.2500	17.0075310
27.5000	17.0084480
27.7500	17.0094410
28.0000	17.0105080
28.2500	17.0116510
28.5000	17.0128720
28.7500	17.0141740
29.0000	17.0155580
29.2500	17.0170280
29.5000	17.0185850
29.7500	17.0202320
30.0000	17.0219700
30.2500	17.0238030
30.5000	17.0257360
30.7500	17.0277770
31.0000	17.0299190
31.2500	17.0321660
31.5000	17.0345180
31.7500	17.0369780
32.0000	17.0395490
32.2500	17.0422310
32.5000	17.0450280
32.7500	17.0479510
33.0000	17.0510070
33.2500	17.0541880
33.5000	17.0575020
33.7500	17.0609550
34.0000	17.0645530
34.2500	17.0683050
34.5000	17.0722480
34.7500	17.0763910
35.0000	17.0807230
35.2500	17.0852510
35.5000	17.0899780
35.7500	17.0950020
36.0000	17.1002690
36.2500	17.1057650
36.5000	17.1114960
36.7500	17.1176180
37.0000	17.1239910
37.2500	17.1305560
37.5000	17.1375460
37.7500	17.1448670
38.0000	17.1525080
38.2500	17.1604900
38.5000	17.1688250
38.7500	17.1775160
39.0000	17.1865710
39.2500	17.1959970
39.5000	17.2057970
39.7500	17.2159790
40.0000	17.2265460
40.2500	17.2375000
40.5000	17.2488480
40.7500	17.2605910
41.0000	17.2727320
41.2500	17.2852760
41.5000	17.2982240
41.7500	17.3115810
42.0000	17.3253490
42.2500	17.3395310
42.5000	17.3541320
42.7500	17.3691540
43.0000	17.3845990
43.2500	17.4004730
43.5000	17.4167780
43.7500	17.4335180
44.0000	17.4506960
44.2500	17.4683140
44.5000	17.4863790
44.7500	17.5048910
45.0000	17.5238540
45.2500	17.5432740
45.5000	17.5631520
45.7500	17.5834920
46.0000	17.6042980
46.2500	17.6255730
46.5000	17.6473210
46.7500	17.6695450
47.0000	17.6922490
47.2500	17.7154350
47.5000	17.7391080
47.7500	17.7632700
48.0000	17.7879260
48.2500	17.8130780
48.5000	17.8387290
48.7500	17.8648830
49.0000	17.8915430
49.2500	17.9187110
49.5000	17.9463910
49.7500	17.9745860
50.0000	18.0032970
50.2500	18.0325260
50.5000	18.0622760
50.7500	18.0925450
51.0000	18.1233340
51.2500	18.1546410
51.5000	18.1864650
51.7500	18.2188020
52.0000	18.2516470
52.2500	18.2849950
52.5000	18.3188420
52.7500	18.3531770
53.0000	18.3879920
53.2500	18.4232780
53.5000	18.4590240
53.7500	18.4952170
54.0000	18.5318440
54.2500	18.5688910
54.5000	18.6063430
54.7500	18.6441590
55.0000	18.6824480
55.2500	18.7210220
55.5000	18.7599280
55.7500	18.7991520
56.0000	18.8386810
56.2500	18.8785010
56.5000	18.9185970
