# compression_s[mm]  force[N]
2.500000  87.1944
5.000000  177.1983
7.500000  272.4381
7.600000  276.3824
10.100000  385.4403
10.412500  399.8349
10.740625  418.1773
10.960351  431.2820
11.092187  440.2527
11.237207  450.8001
11.434961  465.7691
11.632715  481.4025
11.830469  497.6936
12.028223  514.6625
12.225976  532.5650
12.423730  551.5634
12.945306  624.5153
13.474419  733.4406
14.061297  4538.4626
14.241704  9376.9972
14.392865  8543.9969
14.509927  7485.7964
14.618294  7053.2925
14.765604  6698.6384
15.130983  6365.4902
15.394068  5771.1383
15.493233  5662.7460
15.712708  5609.5947
16.188425  5506.8371
16.613180  5605.6673
16.826587  5604.0956
17.159313  6875.6476
17.204520  6884.3285
17.290146  6821.9775
17.374463  6851.6643
17.430330  6904.0787
17.444454  6911.0474
17.470979  6926.0477
17.485391  6941.8697
